neighbourhood_group,neighbourhood,n_listings,average_availability
Brooklyn,Downtown Brooklyn,83,39.481927710843379
Manhattan,Morningside Heights,346,43.054913294797686
Brooklyn,Navy Yard,14,48.928571428571431
Brooklyn,Cobble Hill,99,63.212121212121225
Manhattan,Stuyvesant Town,37,65.108108108108112
Brooklyn,Brooklyn Heights,154,66.038961038961034
Manhattan,Civic Center,52,68.269230769230788
Brooklyn,Columbia St,42,69.0952380952381
Manhattan,Nolita,253,69.810276679841877
Brooklyn,Carroll Gardens,233,71.66952789699566
Manhattan,Roosevelt Island,77,72.5844155844156
Manhattan,East Village,1853,74.623853211009333
Brooklyn,Williamsburg,3919,74.723143659096792
Brooklyn,Boerum Hill,177,77.271186440677951
Brooklyn,Prospect Heights,357,77.515406162465055
