price,n_listings
10,17
11,3
12,4
13,1
15,6
16,6
18,2
19,4
20,33
21,6
22,16
23,7
24,13
25,100
26,24
27,29
28,55
29,67
30,255
31,46
32,82
33,93
34,84
35,480
36,103
37,132
38,167
39,196
40,771
41,86
42,192
43,113
44,119
45,891
46,102
47,163
48,203
49,345
50,1534
51,96
52,131
53,118
54,112
55,950
56,74
57,109
58,157
59,297
60,1458
61,54
62,140
63,108
64,90
65,1190
66,87
67,107
68,160
69,372
70,1170
71,60
72,124
73,84
74,68
75,1370
76,68
77,90
78,122
79,299
80,1272
81,51
82,71
83,63
84,75
85,877
86,79
87,83
88,115
89,365
90,1021
91,52
92,61
93,64
94,68
95,700
96,64
97,91
98,137
99,742
100,2051
101,46
102,45
103,49
104,44
105,325
106,35
107,42
108,54
109,152
110,739
111,38
112,53
113,42
114,28
115,468
116,34
117,53
118,57
119,191
120,1130
121,23
122,41
123,44
124,47
125,1057
126,33
127,27
128,60
129,207
130,610
131,24
132,36
133,53
134,36
135,415
136,24
137,35
138,38
139,170
140,548
141,11
142,55
143,24
144,31
145,323
146,25
147,32
148,50
149,278
150,2047
151,35
152,24
153,21
154,34
155,183
156,21
157,20
158,37
159,164
160,480
161,15
162,22
163,22
164,23
165,315
166,20
167,23
168,34
169,123
170,295
171,12
172,28
173,16
174,31
175,763
176,19
177,30
178,23
179,143
180,522
181,14
182,21
183,9
184,24
185,236
186,18
187,24
188,30
189,123
190,292
191,13
192,10
193,5
194,15
195,293
196,27
197,28
198,58
199,415
200,1401
201,8
202,15
203,9
204,7
205,50
206,15
207,12
208,13
209,46
210,133
211,12
212,14
213,3
214,14
215,111
216,4
217,12
218,12
219,56
220,254
221,8
222,14
223,6
224,13
225,451
226,12
227,14
228,23
229,64
230,109
231,6
232,10
233,11
234,12
235,66
236,10
237,6
238,6
239,106
240,114
241,9
242,4
243,10
244,15
245,93
246,7
247,11
248,15
249,133
250,1018
251,5
252,7
253,3
254,7
255,42
256,8
257,5
258,5
259,30
260,81
261,5
262,8
263,5
264,12
265,58
266,1
267,9
268,6
269,33
270,42
271,10
272,4
273,5
274,9
275,244
276,8
277,3
278,15
279,23
280,91
281,2
282,5
283,5
284,2
285,65
287,7
288,12
289,38
290,63
291,3
292,1
293,3
294,6
295,114
296,1
297,5
298,13
299,161
300,561
301,1
302,7
303,7
304,3
305,23
306,6
307,5
308,7
309,7
310,21
311,2
312,9
313,1
314,9
315,19
316,13
317,4
318,1
319,8
320,39
321,6
322,1
323,2
324,2
325,120
327,1
328,3
329,13
330,27
331,1
332,3
333,9
334,5
335,8
336,1
337,2
338,1
339,16
340,18
341,4
342,1
343,4
344,1
345,25
346,2
347,4
348,3
349,45
350,381
352,4
353,1
355,10
356,2
358,7
359,13
360,21
361,1
362,1
365,18
367,2
369,19
370,13
372,2
373,1
374,6
375,72
376,3
377,5
378,3
379,16
380,36
381,1
382,3
383,1
385,14
386,1
387,2
388,3
389,10
390,24
392,4
393,2
394,2
395,41
396,6
397,1
398,8
399,89
400,225
402,1
403,2
404,2
407,2
408,3
409,5
410,6
412,5
414,2
415,5
416,4
417,1
418,2
419,5
420,13
421,2
422,1
423,1
424,1
425,50
426,1
428,1
429,5
430,6
431,1
432,2
433,2
434,1
435,3
436,1
438,2
439,2
440,4
442,1
443,3
444,2
445,2
446,1
447,2
449,12
450,156
451,2
452,1
453,1
454,1
455,4
459,5
460,7
462,1
463,1
465,7
466,2
468,2
469,1
470,4
471,1
472,3
474,1
475,23
477,1
478,2
479,5
480,8
481,1
483,1
484,2
485,7
487,2
488,2
489,7
490,7
495,25
496,1
497,1
498,1
499,65
500,191
503,2
505,3
506,1
509,1
510,2
515,3
519,1
520,5
524,1
525,15
530,2
531,1
534,7
539,1
540,3
545,5
549,5
550,51
555,1
559,1
560,5
561,1
573,1
575,12
577,2
578,1
580,1
583,2
584,1
585,5
587,1
589,2
590,8
595,13
599,19
600,81
612,1
615,2
616,1
619,1
620,2
625,4
639,1
640,2
643,1
647,1
649,7
650,55
655,1
659,1
670,2
672,2
675,13
680,1
688,1
689,1
690,4
692,1
695,2
699,35
700,47
714,12
718,1
720,1
725,1
737,10
745,2
748,7
749,2
750,45
760,2
766,1
780,1
785,2
789,1
790,2
794,1
795,6
799,492
